h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
10 40 54 186 20029 
10 41 9 187 20029 
10 41 24 186 20029 
10 41 39 187 20029 
10 41 54 186 20029 
10 42 9 187 20029 
10 42 24 186 20029 
10 42 39 187 20029 
10 42 54 186 20029 
10 43 9 187 20029 
10 43 24 186 20029 
10 43 39 187 20029 
10 43 54 186 20029 
10 44 9 187 20029 
10 44 24 186 20029 
10 44 39 187 20029 
10 45 18 187 20029 
10 45 33 186 20029 
10 45 48 187 20029 
10 46 3 186 20029 
10 46 18 187 20029 
10 46 33 186 20029 
10 46 48 187 20029 
10 47 3 186 20029 
10 47 18 187 20029 
10 47 33 186 20029 
10 47 48 187 20029 
10 48 3 186 20029 
10 48 18 187 20029 
10 48 33 186 20029 
10 48 48 187 20029 
10 49 3 186 20029 
10 49 18 187 20029 
10 49 33 186 20029 
10 49 48 187 20029 
10 50 3 186 20029 
10 50 18 187 20029 
10 50 33 186 20029 
10 50 48 187 20029 
10 51 3 186 20029 
10 51 18 187 20029 
10 51 33 186 20029 
10 51 48 187 20029 
10 52 3 186 20029 
10 52 18 187 20029 
10 52 33 186 20029 
10 52 48 187 20029 
10 53 3 186 20029 
10 53 18 187 20029 
10 53 33 186 20029 
10 53 48 187 20029 
10 54 3 186 20029 
10 54 18 187 20029 
10 54 33 186 20029 
10 54 48 187 20029 
10 55 3 186 20029 
10 55 18 187 20029 
10 55 33 186 20029 
10 55 48 187 20029 
10 56 3 186 20029 
10 56 18 187 20029 
10 56 33 187 20029 
10 56 48 186 20029 
10 57 3 187 20029 
10 57 18 186 20029 
10 57 33 187 20029 
10 57 48 186 20029 
10 58 3 187 20029 
10 58 18 186 20029 
10 58 33 187 20029 
10 58 48 186 20029 
10 59 3 187 20029 
10 59 18 186 20029 
10 59 33 187 20029 
10 59 48 186 20029 
11 0 27 187 20029 
11 0 42 186 20029 
11 0 57 187 20029 
11 1 12 186 20029 
11 1 27 187 20029 
11 1 42 186 20029 
11 1 57 187 20029 
11 2 12 186 20029 
11 2 27 187 20029 
11 2 42 186 20029 
11 2 57 187 20029 
11 3 12 186 20029 
11 3 27 187 20029 
11 3 42 186 20029 
11 3 57 187 20029 
11 4 12 186 20029 
11 4 27 187 20029 
11 4 42 186 20029 
11 4 57 187 20029 
11 5 12 186 20029 
11 5 27 187 20029 
11 5 42 186 20029 
11 5 57 187 20029 
11 6 12 186 20029 
11 6 27 187 20029 
11 6 42 186 20029 
11 6 57 187 20029 
11 7 12 187 20029 
11 7 27 186 20029 
11 7 42 187 20029 
11 7 57 186 20029 
11 8 12 187 20029 
11 8 27 186 20029 
11 8 42 187 20029 
11 8 57 186 20029 
11 9 12 187 20029 
11 9 27 186 20029 
11 9 42 187 20029 
11 9 57 186 20029 
11 10 12 187 20029 
11 10 27 186 20029 
11 10 42 187 20029 
11 10 57 186 20029 
11 11 12 187 20029 
11 11 27 186 20029 
11 11 42 187 20029 
11 11 57 186 20029 
11 12 12 187 20029 
11 12 27 186 20029 
11 12 42 187 20029 
11 12 57 186 20029 
11 13 12 187 20029 
11 13 27 186 20029 
11 13 42 187 20029 
11 13 57 186 20029 
11 14 12 187 20029 
11 14 27 186 20029 
11 14 42 187 20029 
11 14 57 186 20029 
11 15 36 187 20029 
11 15 51 186 20029 
11 16 6 187 20029 
11 16 21 186 20029 
11 16 36 187 20029 
11 16 51 186 20029 
11 17 6 187 20029 
11 17 21 186 20029 
11 17 36 187 20029 
11 17 51 186 20029 
11 18 6 187 20029 
11 18 21 187 20029 
11 18 36 186 20029 
11 18 51 187 20029 
11 19 6 186 20029 
11 19 21 187 20029 
11 19 36 186 20029 
11 19 51 187 20029 
11 20 6 186 20029 
11 20 21 187 20029 
11 20 36 186 20029 
11 20 51 187 20029 
11 21 6 186 20029 
11 21 21 187 20029 
11 21 36 186 20029 
11 21 51 187 20029 
11 22 6 186 20029 
11 22 21 187 20029 
11 22 36 186 20029 
11 22 51 187 20029 
11 23 6 186 20029 
